State,FIPS,Pop_2019
Alabama,1000,4903185
Alaska,2000,731545
American Samoa,60000,55212
Arizona,4000,7278717
Arkansas,5000,3017804
Baker Island,81000,1
California,6000,39512223
Colorado,8000,5758736
Connecticut,9000,3565287
Delaware,10000,973764
District of Columbia,11000,705749
Federated States of Micronesia,64000,112640
Florida,12000,21477737
Georgia,13000,10617423
Guam,66000,165768
Hawaii,15000,1415872
Howland Island,84000,1
Idaho,16000,1787065
Illinois,17000,12671821
Indiana,18000,6732219
Iowa,19000,3155070
Jarvis Island,86000,1
Johnston Atoll,67000,1
Kansas,20000,2913314
Kentucky,21000,4467673
Kingman Reef,89000,1
Louisiana,22000,4648794
Maine,23000,1344212
Marshall Islands,68000,58413
Maryland,24000,6045680
Massachusetts,25000,6892503
Michigan,26000,9986857
Midway Islands,71000,200
Minnesota,27000,5639632
Mississippi,28000,2976149
Missouri,29000,6137428
Montana,30000,1068778
Navassa Island,76000,1
Nebraska,31000,1934408
Nevada,32000,3080156
New Hampshire,33000,1359711
New Jersey,34000,8882190
New Mexico,35000,2096829
New York,36000,19453561
North Carolina,37000,10488084
North Dakota,38000,762062
Northern Mariana Islands,69000,56822
Ohio,39000,11689100
Oklahoma,40000,3956971
Oregon,41000,4217737
Palau,70000,17907
Palmyra Atoll,95000,20
Pennsylvania,42000,12801989
Puerto Rico,72000,3654474
Rhode Island,44000,1059361
South Carolina,45000,5148714
South Dakota,46000,884659
Tennessee,47000,6829174
Texas,48000,28995881
U.S. Minor Outlying Islands,74000,300
Utah,49000,3205958
Vermont,50000,623989
Virgin Islands,78000,106977
Virginia,51000,8535519
Wake Island,79000,100
Washington,53000,7614893
West Virginia,54000,1792147
Wisconsin,55000,5822434
Wyoming,56000,578759
